epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2760.33,0.64906,0.55383,1.09241,0.88913,0.78512,0.88418,0.65821,0.89863,0.69776,1.23647,0.00101,0.00101,0.00101
77,2787.72,0.69204,0.59094,1.10062,0.8656,0.82645,0.88479,0.65603,0.91992,0.68072,1.26153,0.0009968,0.0009968,0.0009968
78,2814.69,0.66422,0.57739,1.08616,0.88912,0.79522,0.8809,0.66383,0.88844,0.64729,1.22536,0.0009836,0.0009836,0.0009836
79,2841.53,0.67386,0.57063,1.08639,0.87271,0.82162,0.88835,0.66638,0.89085,0.64707,1.23359,0.0009704,0.0009704,0.0009704
80,2870.47,0.66761,0.55574,1.08364,0.9131,0.77273,0.90117,0.66963,0.90673,0.64991,1.25262,0.0009572,0.0009572,0.0009572
81,2898.36,0.66231,0.55035,1.09067,0.85838,0.80146,0.88241,0.6574,0.9061,0.66301,1.26795,0.000944,0.000944,0.000944
82,2925.06,0.68046,0.57952,1.11159,0.8934,0.80579,0.88336,0.67223,0.87343,0.62525,1.22609,0.0009308,0.0009308,0.0009308
83,2952.05,0.66213,0.56731,1.0872,0.86344,0.80995,0.88759,0.66537,0.90472,0.66713,1.25065,0.0009176,0.0009176,0.0009176
84,2978.88,0.65458,0.5618,1.08767,0.88561,0.79981,0.87068,0.65487,0.91592,0.67036,1.26497,0.0009044,0.0009044,0.0009044
85,3004.9,0.66957,0.56109,1.09605,0.87802,0.80312,0.88635,0.66929,0.9002,0.68895,1.2605,0.0008912,0.0008912,0.0008912
86,3032.94,0.66831,0.58034,1.09097,0.90643,0.80056,0.90141,0.67664,0.87861,0.65783,1.24824,0.000878,0.000878,0.000878
87,3061.16,0.67397,0.56434,1.09608,0.90048,0.78517,0.88281,0.66572,0.90369,0.6558,1.25131,0.0008648,0.0008648,0.0008648
88,3090.09,0.63542,0.55101,1.07386,0.91765,0.79752,0.88782,0.67311,0.87764,0.63481,1.23324,0.0008516,0.0008516,0.0008516
89,3117.31,0.67379,0.58603,1.09756,0.92137,0.81818,0.90566,0.69682,0.8742,0.61906,1.22792,0.0008384,0.0008384,0.0008384
90,3145.1,0.64103,0.53815,1.07881,0.87555,0.83471,0.89979,0.68319,0.88525,0.64903,1.2276,0.0008252,0.0008252,0.0008252
